etapa,variables,arboles,umbral,f1,recall,precision,auc,ap,falsos_negativos,falsos_positivos,recall_calibracion
first train,38,139,0.23,0.5833333333333334,0.8181818181818182,0.45323741007194246,0.8353316807673654,0.6718287481440953,28,152,0.803088803088803
second train,13,144,0.23,0.565947242206235,0.7662337662337663,0.44866920152091255,0.8323880476370102,0.6677526143248366,36,145,0.8108108108108109
third train,13,21,0.26,0.580335731414868,0.7857142857142857,0.4600760456273764,0.831317023225737,0.6678718601007099,33,142,0.8108108108108109
